midgid,sdn_local_cdi_id,SeaVox_SeaArea,ICES_ecoregion,ICES_area,ICES_statistical_rectangle,MSFD_region,MSFD_subregion,WFD_waterbody_type,WFD_waterbody_name,SWD_shellfish_waterbody,station_id,site_bathy_depth,sdn_csrref_global,cruise,platform_name,ices_platform_code,platform_category,platform_category_code,ctd_model_name,ctd_model_urn,year,month,time,depth,latitude,longitude,pressure,temperature,salinity,sigmat,average_sound_velocity,oxygen_mll,oxygen_sat,depth_qc,pressure_qc,temperature_qc,conductivity_qc,salinity_qc,sigmat_qc,average_sound_velocity_qc,oxygen_mll_qc,oxygen_sat_qc
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,1.0,55.1396667,-9.4321667,1.009,13.5242,35.3438,26.5523,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,2.0,55.1396667,-9.4321667,2.018,13.5283,35.3438,26.5515,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,3.0,55.1396667,-9.4321667,3.027,13.5334,35.3442,26.5507,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,4.0,55.1396667,-9.4321667,4.036,13.5334,35.3441,26.5506,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,5.0,55.1396667,-9.4321667,5.045,13.5337,35.344,26.5505,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,6.0,55.1396667,-9.4321667,6.054,13.5343,35.344,26.5504,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,7.0,55.1396667,-9.4321667,7.063,13.5335,35.3442,26.5507,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,8.0,55.1396667,-9.4321667,8.072,13.5345,35.3441,26.5504,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,9.0,55.1396667,-9.4321667,9.08,13.5348,35.3442,26.5504,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,10.0,55.1396667,-9.4321667,10.089,13.5314,35.3445,26.5513,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,11.0,55.1396667,-9.4321667,11.098,13.5311,35.3444,26.5513,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,12.0,55.1396667,-9.4321667,12.107,13.5174,35.3456,26.5551,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,13.0,55.1396667,-9.4321667,13.116,13.4979,35.3472,26.5604,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,14.0,55.1396667,-9.4321667,14.125,13.492,35.3467,26.5611,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,15.0,55.1396667,-9.4321667,15.134,13.4894,35.3473,26.5622,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,16.0,55.1396667,-9.4321667,16.143,13.4858,35.3476,26.5632,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,17.0,55.1396667,-9.4321667,17.152,13.478,35.3481,26.5652,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,18.0,55.1396667,-9.4321667,18.161,13.475,35.3484,26.566,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,19.0,55.1396667,-9.4321667,19.17,13.4648,35.3493,26.5688,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,20.0,55.1396667,-9.4321667,20.179,13.4488,35.3509,26.5732,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,21.0,55.1396667,-9.4321667,21.188,13.4122,35.3542,26.5838,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,22.0,55.1396667,-9.4321667,22.197,13.3898,35.3553,26.5889,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,23.0,55.1396667,-9.4321667,23.206,13.3764,35.3563,26.5924,1502.43,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,24.0,55.1396667,-9.4321667,24.215,13.3222,35.3606,26.6069,1502.42,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,25.0,55.1396667,-9.4321667,25.225,13.3037,35.3608,26.6109,1502.41,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,26.0,55.1396667,-9.4321667,26.234,13.2835,35.3608,26.615,1502.4,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,27.0,55.1396667,-9.4321667,27.243,13.2635,35.3614,26.6195,1502.38,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,28.0,55.1396667,-9.4321667,28.252,13.2498,35.3628,26.6234,1502.36,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,29.0,55.1396667,-9.4321667,29.261,13.2396,35.363,26.6256,1502.35,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,30.0,55.1396667,-9.4321667,30.27,13.2226,35.3637,26.6296,1502.33,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,31.0,55.1396667,-9.4321667,31.279,13.2098,35.3638,26.6323,1502.32,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,32.0,55.1396667,-9.4321667,32.288,13.2026,35.3635,26.6335,1502.3,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,33.0,55.1396667,-9.4321667,33.297,13.1902,35.3632,26.6359,1502.28,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
